customer_id,name,email,age,gender,tenure_months,monthly_charges,total_charges,num_complaints,churned
1,Debra Tyler,mcmillaneric@example.com,33,Female,33,107.38,2369.68,2,1
2,Thomas Fowler,powellscott@example.org,31,Female,30,60.14,2368.86,3,0
3,Mr. Miguel Mathews,marklowe@example.com,23,Female,12,117.79,1296.16,8,0
4,Jared Stevens,regina03@example.com,19,Male,56,55.82,4229.05,10,1
5,Christine Barker,hwilliams@example.org,58,Male,59,72.29,4013.15,10,0
6,Cheryl Gordon,sarajohnson@example.net,67,Male,22,24.59,480.11,3,1
7,Katrina Zavala,castilloeddie@example.net,33,Female,31,94.05,2961.0,2,0
8,Mr. Charles Abbott,bethany56@example.org,49,Female,45,109.98,2338.76,4,1
9,Erika Campbell,ericavasquez@example.net,65,Male,14,82.64,1737.14,5,0
10,Denise Jackson,raymond17@example.org,54,Male,15,42.45,137.05,4,1
11,Chad Torres,sara63@example.com,35,Female,23,126.61,4699.87,10,0
12,Kevin Shelton,hurstapril@example.com,18,Male,8,127.36,4717.36,9,0
13,Chad Brown,howeerin@example.net,30,Female,47,40.2,3925.46,0,0
14,Michael Thomas,brandonnunez@example.com,38,Female,60,49.25,3007.64,8,0
15,Shelly Castro,susan66@example.net,35,Female,17,72.81,3162.04,1,1
16,Daniel Holt,jashley@example.net,47,Male,27,124.51,850.85,4,1
17,Valerie Bartlett,shanehall@example.com,58,Male,13,139.25,1379.44,6,0
18,Eric Romero,mary76@example.com,49,Female,46,35.6,1401.3,1,0
19,Allen Warren,jbrewer@example.org,62,Male,30,125.88,2707.06,9,0
20,Ernest Mason,anthonybrown@example.com,28,Female,48,94.71,802.89,2,1
21,Laura Day,clarkdenise@example.com,40,Male,59,59.98,3149.54,2,1
22,Mason Colon,bthompson@example.org,61,Female,17,33.16,4845.54,6,0
23,Derrick Oconnell,cisnerosmichael@example.net,22,Female,28,135.29,2119.81,7,1
24,Scott Osborn,rsmith@example.net,69,Male,49,80.48,562.65,4,1
25,Melissa Bird,gardnernatalie@example.com,48,Male,17,94.09,336.56,5,0
